id_prefix,id_mid,match,FRN_NameAsPublished,AIANNH_Geoname_Full,STATES,AIANNHCE,AIANNHNS
AKNF,EVNSVL,nd,Evansville Village (aka Bettles Field),Evansville ANVSA,AK,6490,02418575
TRBF,EPPKMY,nd,"Ewiiaapaayp Band of Kumeyaay Indians, California",Ewiiaapaayp Reservation,CA,1065,00241187
TRBF,GRATON,none,"Federated Indians of Graton Rancheria, California",,,,
TRBF,FSNTSX,nd,Flandreau Santee Sioux Tribe of South Dakota,Flandreau Reservation,SD,1100,01934365
TRBF,FRCPWT,nd,"Forest County Potawatomi Community, Wisconsin",Forest County Potawatomi Community,WI,1135,02418936
TRBF,BELKNP,nd,Fort Belknap Indian Community of the Fort Belknap Reservation of Montana,Fort Belknap Reservation,MT,1150,00767938
TRBF,BIDWLL,nd,Fort Bidwell Indian Community of the Fort Bidwell Reservation of California,Fort Bidwell Reservation,CA,1170,00260275
TRBF,INDPPT,nd,"Fort Independence Indian Community of Paiute Indians of the Fort Independence Reservation, California",Fort Independence Reservation,CA,1195,00260277
TRBF,FMPTSH,n,"Fort McDermitt Paiute and Shoshone Tribes of the Fort McDermitt Indian Reservation, Nevada and Oregon",Fort McDermitt Indian Reservation,NV~OR,1210,00859740
TRBF,MCDWYP,nd,"Fort McDowell Yavapai Nation, Arizona",Fort McDowell Yavapai Nation Reservation,AZ,1220,00036978
TRBF,MOJAVE,nd,"Fort Mojave Indian Tribe of Arizona, California & Nevada",Fort Mojave Reservation,AZ~CA~NV,1235,00024003
TRBF,SLAPCH,n,Fort Sill Apache Tribe of Oklahoma,Fort Sill Apache Indian Reservation,NM,1270,02711352
TRBF,SLAPCH,nd,Fort Sill Apache Tribe of Oklahoma,Kiowa-Comanche-Apache-Fort Sill Apache OTSA,OK,5720,02418654
TRBF,SLAPCH,n,Fort Sill Apache Tribe of Oklahoma,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA,OK,5955,02418655
TRBF,GILARV,nd,"Gila River Indian Community of the Gila River Indian Reservation, Arizona",Gila River Indian Reservation,AZ,1310,00023998
TRBF,GTOWCH,nd,"Grand Traverse Band of Ottawa and Chippewa Indians, Michigan",Grand Traverse Reservation,MI,1370,02418951
TRBF,GREENV,n,Greenville Rancheria,Greenville Rancheria,CA,1380,01666180
TRBF,GWNTNW,n,Grindstone Indian Rancheria of Wintun-Wailaki Indians of California,Grindstone Indian Rancheria,CA,1395,00266781
TRBF,GUIDIV,n,Guidiville Rancheria of California,Guidiville Rancheria,CA,1400,00224709
AKNF,GLKANA,nd,Gulkana Village Council,Gulkana ANVSA,AK,6560,02418604
TRBF,HMPOMO,n,"Habematolel Pomo of Upper Lake, California",Upper Lake Rancheria,CA,4430,01654496
TRBF,HANNHV,nd,"Hannahville Indian Community, Michigan",Hannahville Indian Community,MI,1410,01616983
TRBF,HAVASP,nd,"Havasupai Tribe of the Havasupai Reservation, Arizona",Havasupai Reservation,AZ,1440,00045638
AKNF,HEALYL,n,Healy Lake Village,Healy Lake ANVSA,AK,6575,02418613
TRBF,HOCHNK,nd,Ho-Chunk Nation of Wisconsin,Ho-Chunk Nation Reservation,MN~WI,1450,02418963
TRBF,HOHTRB,nd,Hoh Indian Tribe,Hoh Indian Reservation,WA,1460,01505548
AKNF,HCROSS,nd,Holy Cross Tribe,Holy Cross ANVSA,AK,6585,02418617
AKNF,HOONAH,nd,Hoonah Indian Association,Hoonah ANVSA,AK,6590,02418618
TRBF,HOOPAV,nd,"Hoopa Valley Tribe, California",Hoopa Valley Reservation,CA,1490,00251972
TRBF,HOPIAZ,nd,Hopi Tribe of Arizona,Hopi Reservation,AZ,1505,00024001
TRBF,HLPOMO,nd,"Hopland Band of Pomo Indians, California",Hopland Rancheria,CA,1515,00225577
TRBF,HLTNML,nd,Houlton Band of Maliseet Indians,Houlton Maliseet Reservation,ME,1530,02418969
TRBF,HUALAP,nd,"Hualapai Indian Tribe of the Hualapai Indian Reservation, Arizona",Hualapai Indian Reservation,AZ,1545,00045633
AKNF,HUGHES,nd,Hughes Village,Hughes ANVSA,AK,6605,02418621
AKNF,HUSLIA,n,Huslia Village,Huslia ANVSA,AK,6610,02418622
AKNF,HDABRG,nd,Hydaburg Cooperative Association,Hydaburg ANVSA,AK,6615,02418623
AKNF,IGIUGG,nd,Igiugig Village,Igiugig ANVSA,AK,6620,02418625
TRBF,IIPAYN,nd,"Iipay Nation of Santa Ysabel, California",Santa Ysabel Reservation,CA,3550,00255932
TRBF,INAJDG,n,"Inaja Band of Diegueno Mission Indians of the Inaja and Cosmit Reservation, California",Inaja and Cosmit Reservation,CA,1560,00243797
AKNF,INPTAS,d,Inupiat Community of the Arctic Slope,Utqiagvik ANVSA,AK,6175,02418784
TRBF,IONMWK,n,Ione Band of Miwok Indians of California,Ione Band of Miwok TDSA,CA,8300,02418631
TRBF,IOWAKN,nd,Iowa Tribe of Kansas and Nebraska,Iowa (KS-NE) Reservation,KS~NE,1590,00479831
TRBF,IOWAOK,nd,Iowa Tribe of Oklahoma,Iowa OTSA,OK,5670,01925066
AKNF,IQUGMT,d,Iqugmiut Traditional Council,Russian Mission ANVSA,AK,7315,02419202
AKNF,IVNFBY,n,Ivanof Bay Tribe,Ivanof Bay ANVSA,AK,6650,02418632
TRBF,JCKMWK,nd,Jackson Band of Miwuk Indians,Jackson Rancheria,CA,1640,00226085
TRBF,JTSKLL,nd,Jamestown S'Klallam Tribe,Jamestown S'Klallam Reservation,WA,1655,02418978
TRBF,JAMULV,nd,Jamul Indian Village of California,Jamul Indian Village,CA,1670,02418979
TRBF,JCHCTW,nd,Jena Band of Choctaw Indians,Jena Band of Choctaw Reservation,LA,1690,02453210
TRBF,JIAPCH,nd,"Jicarilla Apache Nation, New Mexico",Jicarilla Apache Nation Reservation,NM,1700,01934339
AKNF,KAGUYK,d,Kaguyak Village,Akhiok ANVSA,AK,6015,02418754
TRBF,KAIBPT,nd,"Kaibab Band of Paiute Indians of the Kaibab Indian Reservation, Arizona",Kaibab Indian Reservation,AZ,1720,00023994
AKNF,KKTOVK,nd,Kaktovik Village (aka Barter Island),Kaktovik ANVSA,AK,6680,02418636
TRBF,KALSPL,nd,Kalispel Indian Community of the Kalispel Reservation,Kalispel Reservation,WA,1735,01528426
TRBF,KARUKT,n,Karuk Tribe,Karuk Reservation,CA,1750,02418982
TRBF,KSPOMO,n,"Kashia Band of Pomo Indians of the Stewarts Point Rancheria, California",Stewarts Point Rancheria,CA,3985,00235473
AKNF,KSIGLK,nd,Kasigluk Traditional Elders Council,Kasigluk ANVSA,AK,6710,02418644
TRBF,KAWNOK,nd,"Kaw Nation, Oklahoma",Kaw OTSA,OK,5690,01925070
TRBF,KAWNOK,n,"Kaw Nation, Oklahoma",Kaw/Ponca joint-use OTSA,OK,5950,02418647
AKNF,KENTZE,nd,Kenaitze Indian Tribe,Kenaitze ANVSA,AK,6720,02418648
AKNF,KTCHKN,nd,Ketchikan Indian Community,Ketchikan ANVSA,AK,6725,02575182
TRBF,KWNWBY,d,"Keweenaw Bay Indian Community, Michigan",L'Anse Reservation,MI,1880,01616978
TRBF,KWNWBY,r,"Keweenaw Bay Indian Community, Michigan",Ontonagon Reservation,MI,2580,01934329
TRBF,KILGEE,d,Kialegee Tribal Town,Creek OTSA,OK,5620,01925077
TRBF,KCKPTX,n,Kickapoo Traditional Tribe of Texas,Kickapoo (TX) Reservation,TX,1775,02418986
TRBF,KCKPKS,nd,Kickapoo Tribe of Indians of the Kickapoo Reservation in Kansas,Kickapoo (KS) Reservation,KS,1770,00479833
TRBF,KCKPKS,n,Kickapoo Tribe of Indians of the Kickapoo Reservation in Kansas,Kickapoo (KS) Reservation/Sac and Fox Nation Trust Land joint-use area,KS,4910,02418987
TRBF,KCKPOK,nd,Kickapoo Tribe of Oklahoma,Kickapoo OTSA,OK,5700,02418651
AKNF,KNGISL,d,King Island Native Community,Nome ANVSA,AK,7095,02575187
AKNF,KNGSAL,n,King Salmon Tribe,King Salmon ANVSA,AK,6740,02575183
TRBF,KIOWAT,n,Kiowa Indian Tribe of Oklahoma,Kiowa-Comanche-Apache-Fort Sill Apache OTSA,OK,5720,02418654
TRBF,KIOWAT,nd,Kiowa Indian Tribe of Oklahoma,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA,OK,5955,02418655
TRBF,KLAMTH,nd,Klamath Tribes,Klamath Reservation,OR,1785,02418990
AKNF,KLAWCK,nd,Klawock Cooperative Association,Klawock ANVSA,AK,6765,02418659
TRBF,KDWNTN,n,Kletsel Dehe Wintun Nation of the Cortina Rancheria (previously listed as Kletsel Dehe Band of Wintun Indians),Cortina Indian Rancheria,CA,0780,00221603
AKNF,KNIKTR,nod,Knik Tribe,Knik ANVSA,AK,6290,02418816
TRBF,KOINCA,none,Koi Nation of Northern California,,,,
AKNF,KOKHNK,n,Kokhanok Village,Kokhanok ANVSA,AK,6800,02418666
TRBF,KTNIID,nd,Kootenai Tribe of Idaho,Kootenai Reservation,ID,1800,00394860
AKNF,KOYUKK,nd,Koyukuk Native Village,Koyukuk ANVSA,AK,6830,02418674
TRBF,LJOLLS,nd,"La Jolla Band of Luiseno Indians, California",La Jolla Reservation,CA,1850,00271928
TRBF,LPSTDG,n,"La Posta Band of Diegueno Mission Indians of the La Posta Indian Reservation, California",La Posta Indian Reservation,CA,1895,00255947
TRBF,LPSTDG,d,"La Posta Band of Diegueno Mission Indians of the La Posta Indian Reservation, California",Campo Indian Reservation,CA,0450,00270242
TRBF,COLSCH,nd,Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin,Lac Courte Oreilles Reservation,WI,1815,01577192
TRBF,FLLSCH,nd,Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin,Lac du Flambeau Reservation,WI,1825,01580845
