"neid_prefix","neid_mid","FRN_NameAsPublished","FRN_Date"
TRBF,PTTRUT,"Paiute Indian Tribe of Utah (Cedar Band of Paiutes, Kanosh Band of Paiutes, Koosharem Band of Paiutes, Indian Peaks Band of Paiutes, and Shivwits Band of Paiutes)",12/11/2024
TRBF,PUYLLP,"Puyallup Tribe of the Puyallup Reservation",12/11/2024
TRBF,PYCKCH,"Picayune Rancheria of Chukchansi Indians of California",12/11/2024
TRBF,PYRMDL,"Pyramid Lake Paiute Tribe of the Pyramid Lake Reservation, Nevada",12/11/2024
TRBF,QUAPAW,"Quapaw Nation",12/11/2024
TRBF,QUARTZ,"Quartz Valley Indian Community of the Quartz Valley Reservation of California",12/11/2024
TRBF,QUECHN,"Quechan Tribe of the Fort Yuma Indian Reservation, California & Arizona",12/11/2024
TRBF,QUILTE,"Quileute Tribe of the Quileute Reservation",12/11/2024
TRBF,QUINLT,"Quinault Indian Nation",12/11/2024
TRBF,RAMONA,"Ramona Band of Cahuilla, California",12/11/2024
TRBF,RDDING,"Redding Rancheria, California",12/11/2024
TRBF,REDCLF,"Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin",12/11/2024
TRBF,REDLKE,"Red Lake Band of Chippewa Indians, Minnesota",12/11/2024
TRBF,REDWDV,"Redwood Valley or Little River Band of Pomo Indians of the Redwood Valley Rancheria California",12/11/2024
TRBF,RINCON,"Rincon Band of Luiseno Indians (previously listed as Rincon Band of Luiseno Mission Indians of Rincon Reservation, California)",1/30/2026
TRBF,RINCON,"Rincon Band of Luiseno Mission Indians of Rincon Reservation, California",12/11/2024
TRBF,RNDVLY,"Round Valley Indian Tribes, Round Valley Reservation, California",12/11/2024
TRBF,RNOSPK,"Reno-Sparks Indian Colony, Nevada",12/11/2024
TRBF,ROBNSN,"Robinson Rancheria",12/11/2024
TRBF,ROCKYB,"Chippewa Cree Indians of the Rocky Boy's Reservation, Montana",12/11/2024
TRBF,ROSEBD,"Rosebud Sioux Tribe of the Rosebud Indian Reservation, South Dakota",12/11/2024
TRBF,RPHNCK,"Rappahannock Tribe, Inc.",12/11/2024
TRBF,SAMISH,"Samish Indian Nation",12/11/2024
TRBF,SANDIA,"Pueblo of Sandia, New Mexico",12/11/2024
TRBF,SANTSX,"Santee Sioux Nation, Nebraska",12/11/2024
TRBF,SBRMNS,"Stockbridge Munsee Community, Wisconsin",12/11/2024
