"neid_prefix","neid_mid","match","AIANNH_geoname_full","STATES","AIANNHCE","AIANNHNS"
TRBF,MSBCTW,nd,"Mississippi Choctaw Reservation",MS~TN,2300,00685014
TRBF,MSCLRO,nd,"Mescalero Reservation",NM,2205,00924240
TRBF,MSENAT,nd,"Creek OTSA",OK,5620,01925077
TRBF,MSENAT,n,"Creek/Seminole joint-use OTSA",OK,5915,01925072
TRBF,MSHNTK,nd,"Mashantucket Pequot Reservation",CT,2145,00212541
TRBF,MSHPEE,nd,"Mashpee Wampanoag Trust Land",MA,2147,02786720
TRBF,NAMBEP,nd,"Nambe Pueblo",NM,2400,00918263
TRBF,NAVAJO,nd,"Navajo Nation Reservation",AZ~NM~UT,2430,00041148
TRBF,NAWNDR,nd,"Wind River Reservation",WY,4610,01597068
TRBF,NEZPRC,nd,"Nez Perce Reservation",ID,2445,00399588
TRBF,NEZPRC,r,"Celilo Village",OR,0560,02419333
TRBF,NISQLL,nd,"Nisqually Reservation",WA,2460,01528422
TRBF,NNSMND,none,"",,NA,NA
TRBF,NOOKSK,n,"Nooksack Reservation",WA,2475,02419035
TRBF,NORCHY,nd,"Northern Cheyenne Indian Reservation",MT~SD,2490,01637567
TRBF,NORFRK,n,"North Fork Rancheria",CA,2495,02419036
TRBF,NRGNST,nd,"Narragansett Reservation",RI,2415,02030138
TRBF,NTWSPH,nd,"Huron Potawatomi Reservation",MI,1550,02109298
TRBF,NWSSHN,n,"Northwestern Shoshone Reservation",UT,2505,01455571
TRBF,OGLALA,d,"Pine Ridge Reservation",NE~SD,2810,01263144
TRBF,OKYOWG,nd,"Ohkay Owingeh",NM,2510,01934344
TRBF,OMAHAT,nd,"Omaha Reservation",IA~NE,2550,00834985
TRBF,ONDANY,nd,"Oneida Nation Reservation",NY,2555,02419043
TRBF,ONDAWI,nd,"Oneida (WI) Reservation",WI,2560,01577191
TRBF,ONNDGA,nd,"Onondaga Nation Reservation",NY,2570,00979312
TRBF,OSAGEN,nd,"Osage Reservation",OK,2595,01100113
TRBF,OTOMSA,nd,"Otoe-Missouria OTSA",OK,5760,01925068
TRBF,OWATOK,nd,"Ottawa OTSA",OK,5770,02419159
TRBF,PALABD,nd,"Pala Reservation",CA,2635,00272502
TRBF,PAMNKY,nd,"Pamunkey (State) Reservation",VA,9260,01472036
TRBF,PAUMAB,nd,"Pauma and Yuima Reservation",CA,2715,00272896
TRBF,PAWNEE,nd,"Pawnee OTSA",OK,5780,01925076
TRBF,PCHNGA,nd,"Pechanga Reservation",CA,2745,00272911
TRBF,PCURIS,nd,"Picuris Pueblo",NM,2785,01934341
TRBF,PEORIA,n,"Peoria OTSA",OK,5795,02419165
TRBF,PEORIA,d,"Ottawa OTSA",OK,5770,02419159
TRBF,PEORIA,n,"Miami/Peoria joint-use OTSA",OK,5970,02418712
TRBF,PGMBSK,nd,"Port Gamble Reservation",WA,2910,01507567
TRBF,PITRVR,n,"Big Bend Rancheria",CA,0215,00256889
TRBF,PITRVR,n,"Likely Rancheria",CA,1955,00276402
TRBF,PITRVR,n,"Lookout Rancheria",CA,1980,00227643
TRBF,PITRVR,n,"Montgomery Creek Rancheria",CA,2330,00263771
TRBF,PITRVR,n,"Roaring Creek Rancheria",CA,3185,00265444
TRBF,PITRVR,n,"Pit River Trust Land",CA,2835,02419056
TRBF,PITRVR,n,"XL Ranch Rancheria",CA,4680,00252581
TRBF,PLKLYK,nd,"Resighini Rancheria",CA,3145,01657342
TRBF,PNBSCT,nd,"Penobscot Reservation",ME,2760,00582669
