AIANNHCE,AIANNHNS,AIANNH_Geoname,AIANNH_Geoname_Full,ANRC_FIPS,ANRCNS,GEOIDFQ,ANCSA_Region,ANCSA_Region_Full
6975,02418719,"Mountain Village","Mountain Village ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
7630,02419263,"Tuluksak","Tuluksak ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
6335,02418834,"Chuathbaluk","Chuathbaluk ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
6020,02418755,"Akiachak","Akiachak ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
7133,02419153,"Nunam Iqua","Nunam Iqua ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
7145,02419155,"Ohogamiut","Ohogamiut ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
7185,02419161,"Paimiut","Paimiut ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
7230,02419170,"Pilot Station","Pilot Station ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
7235,02419171,"Pitkas Point","Pitkas Point ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
7640,02419265,"Tuntutuliak","Tuntutuliak ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
7645,02419267,"Tununak","Tununak ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
6025,02418757,"Akiak","Akiak ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
6035,02418759,"Alakanuk","Alakanuk ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
6065,02418765,"Algaaciq","Algaaciq ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
6095,02418771,"Andreafsky","Andreafsky ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
6225,02418793,"Bill Moore's","Bill Moore's ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
6285,02418813,"Chevak","Chevak ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
7065,02418741,"Nightmute","Nightmute ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
7135,02419154,"Nunapitchuk","Nunapitchuk ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
6545,02418602,"Goodnews Bay","Goodnews Bay ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
6685,02418638,"Kalskag","Kalskag ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
6835,02418675,"Kwethluk","Kwethluk ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
6840,02418676,"Kwigillingok","Kwigillingok ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
6845,02418678,"Kwinhagak","Kwinhagak ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
6875,02418686,"Lime Village","Lime Village ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
6890,02418690,"Lower Kalskag","Lower Kalskag ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
6935,02418705,"Mekoryuk","Mekoryuk ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
7005,02418727,"Napaimute","Napaimute ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
7055,02418739,"Newtok","Newtok ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
6710,02418644,"Kasigluk","Kasigluk ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
6750,02418656,"Kipnuk","Kipnuk ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
6810,02418669,"Kongiganak","Kongiganak ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
6340,02418835,"Chuloonawick","Chuloonawick ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
6480,02418573,"Emmonak","Emmonak ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
6570,02418609,"Hamilton","Hamilton ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
6595,02418619,"Hooper Bay","Hooper Bay ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
6815,02418671,"Kotlik","Kotlik ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
6105,02418773,"Aniak","Aniak ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
6160,02418780,"Atmautluak","Atmautluak ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
6205,02418790,"Bethel","Bethel ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
7175,02419157,"Oscarville","Oscarville ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
7245,02419173,"Platinum","Platinum ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
7305,02419197,"Red Devil","Red Devil ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
7495,02419223,"Sleetmute","Sleetmute ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
7525,02419236,"Stony River","Stony River ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
7625,02419259,"Toksook Bay","Toksook Bay ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
6275,02418807,"Chefornak","Chefornak ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
6390,02418852,"Crooked Creek","Crooked Creek ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
6440,02418566,"Eek","Eek ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
6535,02418598,"Georgetown","Georgetown ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
7315,02419202,"Russian Mission","Russian Mission ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
7425,02419210,"Scammon Bay","Scammon Bay ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
7010,02418728,"Napakiak","Napakiak ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
7020,02418729,"Napaskiak","Napaskiak ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
7150,02419156,"Old Harbor","Old Harbor ANVSA",41640,02418991,2300000US0241640,"Koniag","Koniag Alaska Native Regional Corporation"
7180,02419160,"Ouzinkie","Ouzinkie ANVSA",41640,02418991,2300000US0241640,"Koniag","Koniag Alaska Native Regional Corporation"
7275,02419187,"Port Lions","Port Lions ANVSA",41640,02418991,2300000US0241640,"Koniag","Koniag Alaska Native Regional Corporation"
6860,02575186,"Lesnoi","Lesnoi ANVSA",41640,02418991,2300000US0241640,"Koniag","Koniag Alaska Native Regional Corporation"
6015,02418754,"Akhiok","Akhiok ANVSA",41640,02418991,2300000US0241640,"Koniag","Koniag Alaska Native Regional Corporation"
6700,02418641,"Karluk","Karluk ANVSA",41640,02418991,2300000US0241640,"Koniag","Koniag Alaska Native Regional Corporation"
6855,02418682,"Larsen Bay","Larsen Bay ANVSA",41640,02418991,2300000US0241640,"Koniag","Koniag Alaska Native Regional Corporation"
6795,02575184,"Kodiak","Kodiak ANVSA",41640,02418991,2300000US0241640,"Koniag","Koniag Alaska Native Regional Corporation"
7705,02813268,"Uyak","Uyak ANVSA",41640,02418991,2300000US0241640,"Koniag","Koniag Alaska Native Regional Corporation"
7263,02575189,"Port Alsworth","Port Alsworth ANVSA",09040,02419321,2300000US0209040,"Bristol Bay","Bristol Bay Alaska Native Regional Corporation"
7100,02419145,"Nondalton","Nondalton ANVSA",09040,02419321,2300000US0209040,"Bristol Bay","Bristol Bay Alaska Native Regional Corporation"
7205,02419163,"Pedro Bay","Pedro Bay ANVSA",09040,02419321,2300000US0209040,"Bristol Bay","Bristol Bay Alaska Native Regional Corporation"
7215,02419166,"Perryville","Perryville ANVSA",09040,02419321,2300000US0209040,"Bristol Bay","Bristol Bay Alaska Native Regional Corporation"
7225,02419169,"Pilot Point","Pilot Point ANVSA",09040,02419321,2300000US0209040,"Bristol Bay","Bristol Bay Alaska Native Regional Corporation"
7270,02419186,"Port Heiden","Port Heiden ANVSA",09040,02419321,2300000US0209040,"Bristol Bay","Bristol Bay Alaska Native Regional Corporation"
