"id_AK","id_temp","FRN_NameAsPublished","Census_RaceEthCode"
"TR48",241,"Lower Elwha Tribal Community",6226
"TR48",256,"Lower Sioux Indian Community in the State of Minnesota",6302
"TR48",252,"Lummi Tribe of the Lummi Reservation",5924
"TR48",257,"Lytton Rancheria of California",6131
"TR48",258,"Makah Indian Tribe of the Makah Indian Reservation",5936
"TR48",265,"Manchester Band of Pomo Indians of the Manchester Rancheria, California",6132
"AKNV",276,"Manley Hot Springs Village",5049
"AKNV",278,"Manokotak Village",5423
"TR48",292,"Manzanita Band of Diegueno Mission Indians of the Manzanita Reservation, California",5780
"TR48",284,"Mashantucket Pequot Indian Tribe",6099
"TR48",291,"Mashpee Wampanoag Tribe",6375
"TR48",259,"Match-e-be-nash-she-wish Band of Pottawatomi Indians of Michigan",6156
"AKNV",261,"McGrath Native Village",5050
"TR48",263,"Mechoopda Indian Tribe of Chico Rancheria, California",5930
"TR48",277,"Menominee Indian Tribe of Wisconsin",5948
"AKNV",279,"Mentasta Traditional Council",5051
"TR48",288,"Mesa Grande Band of Diegueno Mission Indians of the Mesa Grande Reservation, California",5781
"TR48",287,"Mescalero Apache Tribe of the Mescalero Reservation, New Mexico",5519
"AKNV",289,"Metlakatla Indian Community, Annette Island Reserve",5396
"TR48",273,"Mi'kmaq Nation (previously listed as Aroostook Band of Micmacs)",5960
"TR48",271,"Miami Tribe of Oklahoma",5955
"TR48",267,"Miccosukee Tribe of Indians",5957
"TR48",290,"Middletown Rancheria of Pomo Indians of California",6133
"TR48",274,"Minnesota Chippewa Tribe, Minnesota (Six component reservations: Bois Forte Band (Nett Lake); Fond du Lac Band; Grand Portage Band; Leech Lake Band; Mille Lacs Band; White Earth Band)",5664
"TR48",262,"Mississippi Band of Choctaw Indians",5694
"TR48",282,"Moapa Band of Paiute Indians of the Moapa River Indian Reservation, Nevada",6054
"TR48",280,"Modoc Nation",5980
"TR48",270,"Mohegan Tribe of Indians of Connecticut",5984
"TR48",275,"Monacan Indian Nation",5986
"TR48",286,"Mooretown Rancheria of Maidu Indians of California",5931
"TR48",283,"Morongo Band of Mission Indians, California",5561
"TR48",264,"Muckleshoot Indian Tribe",6194
"AKNV",293,"Naknek Native Village",5424
"TR48",316,"Nansemond Indian Nation",5795
"TR48",323,"Narragansett Indian Tribe",5997
"AKNV",3,"Native Village of Afognak",5140
"AKNV",9,"Native Village of Akhiok",5141
"AKNV",11,"Native Village of Akutan",5142
"AKNV",17,"Native Village of Aleknagik",5425
"AKNV",21,"Native Village of Ambler",5235
"AKNV",29,"Native Village of Atka",5143
"AKNV",31,"Native Village of Atqasuk",5224
"AKNV",183,"Native Village of Barrow Inupiat Traditional Government",5236
"AKNV",45,"Native Village of Belkofski",5144
"AKNV",50,"Native Village of Brevig Mission",5237
"AKNV",33,"Native Village of Buckland",5238
"AKNV",101,"Native Village of Cantwell",5052
"AKNV",83,"Native Village of Chenega (aka Chanega)",5145
"AKNV",76,"Native Village of Chignik Lagoon",5146
"AKNV",88,"Native Village of Chitina",5053
"AKNV",87,"Native Village of Chuathbaluk (Russian Mission, Kuskokwim)",5426
"AKNV",108,"Native Village of Council",5239
"AKNV",122,"Native Village of Deering",5240
"AKNV",180,"Native Village of Diomede (aka Inalik)",5241
"AKNV",540,"Native Village of Eagle",5054
"AKNV",332,"Native Village of Eek",5427
"AKNV",329,"Native Village of Ekuk",5428
"AKNV",541,"Native Village of Ekwok",5419
"AKNV",330,"Native Village of Elim",5242
"AKNV",331,"Native Village of Eyak (Cordova)",5147
"AKNV",144,"Native Village of False Pass",5148
"AKNV",157,"Native Village of Fort Yukon",5055
"AKNV",145,"Native Village of Gakona",5056
"AKNV",146,"Native Village of Gambell",5429
"AKNV",147,"Native Village of Georgetown",5430
"AKNV",150,"Native Village of Goodnews Bay",5431
"AKNV",159,"Native Village of Hamilton",5432
"AKNV",172,"Native Village of Hooper Bay",5433
"AKNV",200,"Native Village of Kanatak",5149
"AKNV",201,"Native Village of Karluk",5150
"AKNV",544,"Native Village of Kiana",5243
"AKNV",213,"Native Village of Kipnuk",5435
"AKNV",234,"Native Village of Kivalina",5244
"AKNV",218,"Native Village of Kluti Kaah (aka Copper Center)",5057
"AKNV",223,"Native Village of Kobuk",5245
"AKNV",219,"Native Village of Kongiganak",5436
"AKNV",233,"Native Village of Kotzebue",5246
"AKNV",228,"Native Village of Koyuk",5247
"AKNV",235,"Native Village of Kwigillingok",5437
"AKNV",400,"Native Village of Kwinhagak (aka Quinhagak)",5438
"AKNV",239,"Native Village of Larsen Bay",5151
"AKNV",285,"Native Village of Marshall (aka Fortuna Ledge)",5439
"AKNV",272,"Native Village of Mary's Igloo",5248
"AKNV",268,"Native Village of Mekoryuk",5249
"AKNV",546,"Native Village of Minto",5058
"AKNV",295,"Native Village of Nanwalek (aka English Bay)",5152
"AKNV",322,"Native Village of Napaimute",5440
"AKNV",296,"Native Village of Napakiak",5441
"AKNV",297,"Native Village of Napaskiak",5442
"AKNV",311,"Native Village of Nelson Lagoon",5153
"AKNV",304,"Native Village of Nightmute",5443
"AKNV",308,"Native Village of Nikolski",5154
"AKNV",317,"Native Village of Noatak",5250
"AKNV",327,"Native Village of Nuiqsut (aka Nooiksut)",5251
"AKNV",314,"Native Village of Nunam Iqua",5444
"AKNV",315,"Native Village of Nunapitchuk",5445
"AKNV",351,"Native Village of Ouzinkie",5155
"AKNV",547,"Native Village of Paimiut",5483
"AKNV",378,"Native Village of Perryville",5156
"AKNV",362,"Native Village of Pilot Point",5157
"AKNV",371,"Native Village of Point Hope",5252
"AKNV",372,"Native Village of Point Lay",5253
"AKNV",379,"Native Village of Port Graham",5158
"AKNV",380,"Native Village of Port Heiden",5159
"AKNV",381,"Native Village of Port Lions",5160
"AKNV",333,"Native Village of Ruby",5059
"AKNV",482,"Native Village of Saint Michael",5447
"AKNV",417,"Native Village of Savoonga",5448
"AKNV",425,"Native Village of Scammon Bay",5449
"AKNV",429,"Native Village of Selawik",5254
"AKNV",435,"Native Village of Shaktoolik",5255
"AKNV",473,"Native Village of Shishmaref",5256
"AKNV",438,"Native Village of Shungnak",5257
"AKNV",478,"Native Village of Stevens",5060
"AKNV",511,"Native Village of Tanacross",5061
"AKNV",334,"Native Village of Tanana",5062
"AKNV",495,"Native Village of Tatitlek",5161
"AKNV",496,"Native Village of Tazlina",5063
"AKNV",499,"Native Village of Teller",5258
"AKNV",501,"Native Village of Tetlin",5064
"AKNV",514,"Native Village of Tuntutuliak",5450
"AKNV",524,"Native Village of Tununak",5451
"AKNV",527,"Native Village of Tyonek",5065
"AKNV",532,"Native Village of Unalakleet",5259
"AKNV",335,"Native Village of Unga",5162
"AKNV",542,"Native Village of Venetie Tribal Government (Arctic Village and Village of Venetie)",5090
"AKNV",549,"Native Village of Wales",5260
"AKNV",336,"Native Village of White Mountain",5261
"TR48",299,"Navajo Nation, Arizona, New Mexico, & Utah",5999
"AKNV",300,"Nenana Native Association",5066
"AKNV",307,"New Koliganek Village Council",5452
"AKNV",326,"New Stuyahok Village",5453
"AKNV",305,"Newhalen Village",5454
"AKNV",301,"Newtok Village",5455
"TR48",302,"Nez Perce Tribe",6001
"AKNV",309,"Nikolai Village",5067
"AKNV",313,"Ninilchik Village",5068
"TR48",306,"Nisqually Indian Tribe",6195
"AKNV",318,"Nome Eskimo Community",5262
"AKNV",312,"Nondalton Village",5069
"TR48",319,"Nooksack Indian Tribe",6196
"AKNV",320,"Noorvik Native Community",5263
"TR48",298,"Northern Arapaho Tribe of the Wind River Reservation, Wyoming",5525
"TR48",321,"Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation, Montana",5620
"TR48",303,"Northfork Rancheria of Mono Indians of California",5991
"AKNV",324,"Northway Village",5070
"TR48",337,"Northwestern Band of the Shoshone Nation",6289
"TR48",325,"Nottawaseppi Huron Band of the Potawatomi, Michigan",6157
"AKNV",328,"Nulato Village",5071
"AKNV",310,"Nunakauyarmiut Tribe",5456
"TR48",338,"Oglala Sioux Tribe",6304
"TR48",341,"Ohkay Owingeh, New Mexico",6165
"TR48",342,"Omaha Tribe of Nebraska",6023
"TR48",343,"Oneida Indian Nation",5867
"TR48",344,"Oneida Nation",6025
"TR48",345,"Onondaga Nation",5868
"AKNV",154,"Organized Village of Grayling (aka Holikachuk)",5072
"AKNV",545,"Organized Village of Kake",5331
"AKNV",203,"Organized Village of Kasaan",5332
"AKNV",237,"Organized Village of Kwethluk",5457
"AKNV",418,"Organized Village of Saxman",5333
"AKNV",349,"Orutsararmiut Traditional Native Council",5458
"AKNV",347,"Oscarville Traditional Village",5459
"TR48",348,"Otoe-Missouria Tribe of Indians, Oklahoma",6031
"TR48",350,"Ottawa Tribe of Oklahoma",6037
"TR48",389,"Paiute Indian Tribe of Utah (Cedar Band of Paiutes, Kanosh Band of Paiutes, Koosharem Band of Paiutes, Indian Peaks Band of Paiutes, and Shivwits Band of Paiutes)",6056
"TR48",387,"Paiute-Shoshone Tribe of the Fallon Reservation and Colony, Nevada",6071
"TR48",352,"Pala Band of Mission Indians",5914
"TR48",354,"Pamunkey Indian Tribe",6078
"TR48",384,"Pascua Yaqui Tribe of Arizona",6424
"TR48",382,"Paskenta Band of Nomlaki Indians of California",6009
"TR48",383,"Passamaquoddy Tribe",6081
"AKNV",366,"Pauloff Harbor Village",5163
"TR48",353,"Pauma Band of Luiseno Mission Indians of the Pauma & Yuima Reservation, California",5915
"TR48",355,"Pawnee Nation of Oklahoma",6086
"TR48",356,"Pechanga Band of Indians (previously listed as Pechanga Band of Luiseno Mission Indians of the Pechanga Reservation, California)",5916
"AKNV",359,"Pedro Bay Village",5073
"TR48",368,"Penobscot Nation",6090
"TR48",360,"Peoria Tribe of Indians of Oklahoma",6093
"AKNV",386,"Petersburg Indian Association",5335
"TR48",392,"Picayune Rancheria of Chukchansi Indians of California",6431
"AKNV",363,"Pilot Station Traditional Village",5460
"TR48",391,"Pinoleville Pomo Nation, California",6135
"TR48",364,"Pit River Tribe, California (includes XL Ranch, Big Bend, Likely, Lookout, Montgomery Creek, and Roaring Creek Rancherias)",6113
"AKNV",385,"Pitka's Point Traditional Council",5446
"AKNV",365,"Platinum Traditional Village",5461
"TR48",357,"Poarch Band of Creek Indians",5744
"TR48",374,"Pokagon Band of Potawatomi Indians, Michigan and Indiana",6158
"TR48",370,"Ponca Tribe of Indians of Oklahoma",6148
"TR48",369,"Ponca Tribe of Nebraska",6149
"TR48",361,"Port Gamble S'Klallam Tribe",6227
"AKNV",339,"Portage Creek Village (aka Ohgsenakale)",5462
"TR48",388,"Potter Valley Tribe, California",6136
"TR48",376,"Prairie Band Potawatomi Nation",6159
"TR48",375,"Prairie Island Indian Community in the State of Minnesota",6306
"AKNV",377,"Pribilof Islands Aleut Communities of St. Paul & St. George Islands (Saint George Island and Saint Paul Island)",5174
"TR48",1,"Pueblo of Acoma, New Mexico",6167
"TR48",102,"Pueblo of Cochiti, New Mexico",6168
"TR48",188,"Pueblo of Isleta, New Mexico",6169
"TR48",193,"Pueblo of Jemez, New Mexico",6170
"TR48",238,"Pueblo of Laguna, New Mexico",6171
"TR48",294,"Pueblo of Nambe, New Mexico",6172
"TR48",358,"Pueblo of Picuris, New Mexico",6173
"TR48",373,"Pueblo of Pojoaque, New Mexico",6174
"TR48",430,"Pueblo of San Felipe, New Mexico",6175
"TR48",443,"Pueblo of San Ildefonso, New Mexico",6176
"TR48",416,"Pueblo of Sandia, New Mexico",6177
"TR48",475,"Pueblo of Santa Ana, New Mexico",6178
"TR48",424,"Pueblo of Santa Clara, New Mexico",6179
"TR48",494,"Pueblo of Taos, New Mexico",6181
"TR48",519,"Pueblo of Tesuque, New Mexico",6182
"TR48",575,"Pueblo of Zia, New Mexico",6183
"TR48",367,"Pulikla Tribe of Yurok People (previously listed as Resighini Rancheria, California)",6456
"TR48",390,"Puyallup Tribe of the Puyallup Reservation",6197
"TR48",393,"Pyramid Lake Paiute Tribe of the Pyramid Lake Reservation, Nevada",6057
"AKNV",394,"Qagan Tayagungin Tribe of Sand Point",5164
"AKNV",401,"Qawalangin Tribe of Unalaska",5165
"TR48",395,"Quapaw Nation",6214
"TR48",396,"Quartz Valley Indian Community of the Quartz Valley Reservation of California",6265
"TR48",397,"Quechan Tribe of the Fort Yuma Indian Reservation, California & Arizona",6450
"TR48",398,"Quileute Tribe of the Quileute Reservation",5594
"TR48",399,"Quinault Indian Nation",6216
"TR48",407,"Ramona Band of Cahuilla, California",5562
"AKNV",402,"Rampart Village",5074
"TR48",412,"Rappahannock Tribe, Inc.",6218
"TR48",403,"Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin",5665
"TR48",405,"Red Lake Band of Chippewa Indians, Minnesota",5666
"TR48",404,"Redding Rancheria, California",5575
"TR48",414,"Redwood Valley or Little River Band of Pomo Indians of the Redwood Valley Rancheria California",6137
"TR48",410,"Reno-Sparks Indian Colony, Nevada",6220
"TR48",408,"Rincon Band of Luiseno Mission Indians of Rincon Reservation, California",5917
"TR48",411,"Robinson Rancheria",6138
