"Census_RaceEthCode","Census_Description"
5261,"WHITE MOUNTAIN AK"
5261,"WHITE MOUNTAIN NATIVE CORP."
5262,"NOME ESKIMO COMMUNITY"
5262,"NOME"
5262,"SITNASAUK NATIVE CORP."
5263,"NOORVIK NATIVE COMMUNITY"
5263,"NOORVIK"
5264,"VILLAGE OF ANAKTUVUK PASS"
5264,"ANAKTUVUK PASS"
5264,"NAQSRAGMIUT TRIBE"
5264,"NUNAMIUT CORP., INC."
5265,"VILLAGE OF SOLOMON"
5265,"SOLOMON NATIVE CORP."
5266,"VILLAGE OF WAINWRIGHT"
5266,"OLGOONIK CORP."
5266,"WAINWRIGHT"
5321,"CENTRAL COUNCIL OF THE TLINGIT AND HAIDA INDIAN TRIBES"
5321,"CCTH"
5321,"CCTHIT"
5321,"CCTHITA"
5321,"CENTRAL COUNCIL"
5321,"THCC"
5321,"TLINGIT & HAIDA"
5321,"TLINGIT HAIDA COUNCIL"
5321,"TLINGIT HAIDA INDIAN TRIBE"
5322,"CHILKAT INDIAN VILLAGE (KLUKWAN)"
5322,"CHILKAT"
5322,"CHILKAT INDIAN VILLAGE"
5322,"KLUKWAN"
5322,"KLUKWAN INC."
5323,"CHILKOOT INDIAN ASSOCIATION (HAINES)"
5323,"CHILKOOT"
5323,"CHILKOOT INDIAN ASSOCIATION"
5323,"HAINES"
5324,"CRAIG TRIBAL ASSOCIATION"
5324,"CRAIG COMMUNITY ASSOCIATION"
5324,"SHAAN-SEET INC."
5325,"DOUGLAS INDIAN ASSOCIATION"
5327,"HOONAH INDIAN ASSOCIATION"
5327,"HOONAH"
5327,"HUNA TOTEM CORP."
5328,"HYDABURG COOPERATIVE ASSOCIATION"
5328,"HAIDA CORP."
5328,"HYDABURG"
5329,"KETCHIKAN INDIAN COMMUNITY"
5329,"KETCHIKAN"
5329,"KETCHIKAN INDIAN CORPORATION"
5330,"KLAWOCK COOPERATIVE ASSOCIATION"
5330,"KLAWOCK"
5330,"KLAWOCK HEENYA CORP"
5331,"ORGANIZED VILLAGE OF KAKE"
5331,"KAKE"
5331,"KAKE TRIBAL CORP."
5332,"ORGANIZED VILLAGE OF KASAAN"
5332,"KASAAN"
5332,"KAVILCO, INC."
5333,"ORGANIZED VILLAGE OF SAXMAN"
5333,"CAPE FOX CORP."
5333,"SAXMAN"
5333,"SAXMAN IRA"
5335,"PETERSBURG INDIAN ASSOCIATION"
5337,"SITKA TRIBE OF ALASKA"
5337,"SHEE ATIKA INC"
5337,"SITKA"
5337,"STA"
5338,"SKAGWAY VILLAGE"
5338,"SKAGWAY"
5338,"SKAGWAY TRADITIONAL COUNCIL"
5340,"ANGOON COMMUNITY ASSOCIATION"
5340,"ANGOON"
5340,"KOOTZNOOWOO INC."
5341,"WRANGELL COOPERATIVE ASSOCIATION"
5341,"WRANGELL"
5342,"YAKUTAT TLINGIT TRIBE"
5342,"YAK-TAT KWAAN INC."
5342,"YAKUTAT"
5396,"METLAKATLA INDIAN COMMUNITY, ANNETTE ISLAND RESERVE"
5396,"ANNETTE ISLANDS RESERVE"
5396,"METLAKATLA"
5396,"METLAKATLA INDIAN COMMUNITY"
5411,"AKIACHAK NATIVE COMMUNITY"
5411,"AKIACHAK"
5411,"AKIACHAK LIMITED"
5412,"AKIAK NATIVE COMMUNITY"
5412,"AKIAK"
5412,"KOKARMUIT CORP."
5413,"ALGAACIQ NATIVE VILLAGE (ST. MARY’S)"
5413,"ALGAACIQ"
5413,"ALGAACIQ NATIVE VILLAGE"
5413,"ST MARYS"
5414,"ASA’CARSARMIUT TRIBE"
5414,"ASA’CARSARMIUT"
5414,"AZACHOROK INC."
5417,"CHULOONAWICK NATIVE VILLAGE"
5417,"CHULOONAWICK"
5417,"CHULOONAWICK CORP."
5417,"CHULOONAWICK TRIBAL COUNCIL"
5417,"NATIVE VILLAGE OF CHULOONAWICK"
5418,"CURYUNG TRIBAL COUNCIL"
5418,"CURYUNG"
5418,"CURYUNG TRIBAL COUNCIL (NATIVE VILLAGE OF DILLINGHAM)"
5418,"NATIVE VILLAGE OF DILLINGHAM"
5419,"NATIVE VILLAGE OF EKWOK"
5419,"EKWOK"
5419,"EKWOK NATIVES LIMITED"
5419,"EKWOK VILLAGE"
5420,"EMMONAK VILLAGE"
5420,"EMMONAK"
5420,"EMMONAK CORP."
5420,"NATIVE VILLAGE OF EMMONAK"
5421,"IQUGMIUT TRADITIONAL COUNCIL"
5421,"IQURMUIT"
5421,"IQURMUIT TRADITIONAL COUNCIL"
5421,"RUSSIAN MISSION NATIVE CORP."
5422,"LEVELOCK VILLAGE"
5422,"LEVELOCK"
5422,"LEVELOCK NATIVES LTD."
5423,"MANOKOTAK VILLAGE"
5423,"MANOKOTAK"
5423,"MANOKOTAK NATIVES LTD."
5423,"MANOKOTAK VILLAGE COUNCIL"
5424,"NAKNEK NATIVE VILLAGE"
5424,"NAKNEK"
5424,"PAUG-VIK INCORPORATED LTD."
5425,"NATIVE VILLAGE OF ALEKNAGIK"
5425,"ALEKNAGIK"
5425,"ALEKNAGIK NATIVES LTD."
5426,"NATIVE VILLAGE OF CHUATHBALUK"
5426,"CHUATHBALUK"
5426,"CHUATHBALUK TRADITIONAL COUNCIL"
5427,"NATIVE VILLAGE OF EEK"
5427,"IQFIJOUAQ COMPANY"
5428,"NATIVE VILLAGE OF EKUK"
5428,"EKUK"
5429,"NATIVE VILLAGE OF GAMBELL"
5429,"GAMBELL"
5429,"SIVUQAQ"
5429,"SIVUQAQ INC."
5430,"NATIVE VILLAGE OF GEORGETOWN"
5431,"NATIVE VILLAGE OF GOODNEWS BAY"
5431,"GOODNEWS BAY"
5431,"KUITSARAK, INC."
5432,"NATIVE VILLAGE OF HAMILTON"
5432,"NUNAPIGLLURAQ CORP."
5433,"NATIVE VILLAGE OF HOOPER BAY"
5433,"HOOPER BAY"
5433,"NAPARYARMIUT"
5433,"NATIVE VILLAGE OF HOOPER BAY (NAPARYARMIUT)"
5433,"SEA LION CORP."
5434,"KASIGLUK TRADITIONAL ELDERS COUNCIL"
5434,"KASIGLUK"
5434,"KASIGLUK INC."
5434,"KASIGLUK TRADITIONAL COUNCIL"
5434,"NATIVE VILLAGE OF KASIGLUK"
5435,"NATIVE VILLAGE OF KIPNUK"
5435,"KIPNUK"
5435,"KUGKAKTLIK LIMITED"
5436,"NATIVE VILLAGE OF KONGIGANAK"
5436,"KONGIGANAK"
5436,"QEMIRTALEK COAST CORP."
5437,"NATIVE VILLAGE OF KWIGILLINGOK"
5437,"KWIGILLINGOK"
5437,"KWIK, INC."
5438,"NATIVE VILLAGE OF KWINHAGAK (QUINHAGAK)"
5438,"KWINHAGAK"
5438,"NATIVE VILLAGE OF KWINHAGAK"
5438,"QANIRTUUQ INC."
5438,"QUINHAGAK"
5439,"NATIVE VILLAGE OF MARSHALL (FORTUNA LEDGE)"
5439,"FORTUNA LEDGE"
5439,"MASERCULIQ, INC."
5439,"NATIVE VILLAGE OF MARSHALL"
5440,"NATIVE VILLAGE OF NAPAIMUTE"
5440,"NAPAIMUTE"
5441,"NATIVE VILLAGE OF NAPAKIAK"
5441,"NAPAKIAK"
5441,"NAPAKIAK CORP."
5442,"NATIVE VILLAGE OF NAPASKIAK"
5442,"NAPASKIAK"
5442,"NAPASKIAK INC."
5443,"NATIVE VILLAGE OF NIGHTMUTE"
5443,"NIGHTMUTE"
5444,"NATIVE VILLAGE OF NUNAM IQUA"
5444,"NATIVE VILLAGE OF SHELDONS POINT"
5444,"NUNAM IQUA"
5444,"NUNAM IQUA (SHELDON'S POINT)"
5444,"SHELDONS POINT"
5444,"SWAN LAKE CORP."
5445,"NATIVE VILLAGE OF NUNAPITCHUK"
5445,"NUNAPITCHUK"
5445,"NUNAPITCHUK LIMITED"
5446,"PITKA'S POINT TRADITIONAL COUNCIL"
5446,"NATIVE VILLAGE OF PITKA'S POINT"
5446,"PITKA'S POINT"
5446,"PITKA'S POINT NATIVE CORP."
5447,"NATIVE VILLAGE OF SAINT MICHAEL"
5447,"ST. MICHAEL IRA"
5447,"ST. MICHAEL NATIVE CORP."
5448,"NATIVE VILLAGE OF SAVOONGA"
5448,"KUKULGET INC."
5448,"SAVOONGA"
5449,"NATIVE VILLAGE OF SCAMMON BAY"
5449,"ASKINUK CORP."
5449,"SCAMMON BAY"
5450,"NATIVE VILLAGE OF TUNTUTULIAK"
5450,"TUNTUTULIAK"
5450,"TUNTUTULIAK LAND LIMITED"
