"id_AK","id_temp","match","FRN_NameAsPublished","AIANNH_Geoname_Full","STATES","AIANNHCE","AIANNHNS"
"TR48",161,"nd","Havasupai Tribe of the Havasupai Reservation, Arizona","Havasupai Reservation","AZ",1440,45638
"AKNV",164,"n","Healy Lake Village","Healy Lake ANVSA","AK",6575,2418613
"TR48",168,"nd","Ho-Chunk Nation of Wisconsin","Ho-Chunk Nation Reservation","MN~WI",1450,2418963
"TR48",169,"nd","Hoh Indian Tribe","Hoh Indian Reservation","WA",1460,1505548
"AKNV",162,"nd","Holy Cross Tribe","Holy Cross ANVSA","AK",6585,2418617
"AKNV",170,"nd","Hoonah Indian Association","Hoonah ANVSA","AK",6590,2418618
"TR48",171,"nd","Hoopa Valley Tribe, California","Hoopa Valley Reservation","CA",1490,251972
"TR48",173,"nd","Hopi Tribe of Arizona","Hopi Reservation","AZ",1505,24001
"TR48",165,"nd","Hopland Band of Pomo Indians, California","Hopland Rancheria","CA",1515,225577
"TR48",166,"nd","Houlton Band of Maliseet Indians","Houlton Maliseet Reservation","ME",1530,2418969
"TR48",174,"nd","Hualapai Indian Tribe of the Hualapai Indian Reservation, Arizona","Hualapai Indian Reservation","AZ",1545,45633
"AKNV",175,"nd","Hughes Village","Hughes ANVSA","AK",6605,2418621
"AKNV",176,"n","Huslia Village","Huslia ANVSA","AK",6610,2418622
"AKNV",163,"nd","Hydaburg Cooperative Association","Hydaburg ANVSA","AK",6615,2418623
"AKNV",177,"nd","Igiugig Village","Igiugig ANVSA","AK",6620,2418625
"TR48",178,"nd","Iipay Nation of Santa Ysabel, California","Santa Ysabel Reservation","CA",3550,255932
"TR48",179,"n","Inaja Band of Diegueno Mission Indians of the Inaja and Cosmit Reservation, California","Inaja and Cosmit Reservation","CA",1560,243797
"AKNV",182,"d","Inupiat Community of the Arctic Slope","Utqiagvik ANVSA","AK",6175,2418784
"TR48",184,"n","Ione Band of Miwok Indians of California","Ione Band of Miwok TDSA","CA",8300,2418631
"TR48",185,"nd","Iowa Tribe of Kansas and Nebraska","Iowa (KS-NE) Reservation","KS~NE",1590,479831
"TR48",186,"nd","Iowa Tribe of Oklahoma","Iowa OTSA","OK",5670,1925066
"AKNV",187,"d","Iqugmiut Traditional Council","Russian Mission ANVSA","AK",7315,2419202
"AKNV",189,"n","Ivanof Bay Tribe","Ivanof Bay ANVSA","AK",6650,2418632
"TR48",192,"nd","Jackson Band of Miwuk Indians","Jackson Rancheria","CA",1640,226085
"TR48",195,"nd","Jamestown S'Klallam Tribe","Jamestown S'Klallam Reservation","WA",1655,2418978
"TR48",190,"nd","Jamul Indian Village of California","Jamul Indian Village","CA",1670,2418979
"TR48",191,"nd","Jena Band of Choctaw Indians","Jena Band of Choctaw Reservation","LA",1690,2453210
"TR48",194,"nd","Jicarilla Apache Nation, New Mexico","Jicarilla Apache Nation Reservation","NM",1700,1934339
"AKNV",196,"d","Kaguyak Village","Akhiok ANVSA","AK",6015,2418754
"TR48",197,"nd","Kaibab Band of Paiute Indians of the Kaibab Indian Reservation, Arizona","Kaibab Indian Reservation","AZ",1720,23994
"AKNV",214,"nd","Kaktovik Village (aka Barter Island)","Kaktovik ANVSA","AK",6680,2418636
"TR48",198,"nd","Kalispel Indian Community of the Kalispel Reservation","Kalispel Reservation","WA",1735,1528426
"TR48",202,"n","Karuk Tribe","Karuk Reservation","CA",1750,2418982
"TR48",230,"n","Kashia Band of Pomo Indians of the Stewarts Point Rancheria, California","Stewarts Point Rancheria","CA",3985,235473
"AKNV",229,"nd","Kasigluk Traditional Elders Council","Kasigluk ANVSA","AK",6710,2418644
"TR48",204,"nd","Kaw Nation, Oklahoma","Kaw OTSA","OK",5690,1925070
"TR48",204,"n","Kaw Nation, Oklahoma","Kaw/Ponca joint-use OTSA","OK",5950,2418647
"AKNV",210,"nd","Kenaitze Indian Tribe","Kenaitze ANVSA","AK",6720,2418648
"AKNV",231,"nd","Ketchikan Indian Community","Ketchikan ANVSA","AK",6725,2575182
"TR48",236,"d","Keweenaw Bay Indian Community, Michigan","L'Anse Reservation","MI",1880,1616978
"TR48",236,"r","Keweenaw Bay Indian Community, Michigan","Ontonagon Reservation","MI",2580,1934329
"TR48",211,"d","Kialegee Tribal Town","Creek OTSA","OK",5620,1925077
"TR48",208,"n","Kickapoo Traditional Tribe of Texas","Kickapoo (TX) Reservation","TX",1775,2418986
"TR48",206,"nd","Kickapoo Tribe of Indians of the Kickapoo Reservation in Kansas","Kickapoo (KS) Reservation","KS",1770,479833
"TR48",206,"n","Kickapoo Tribe of Indians of the Kickapoo Reservation in Kansas","Kickapoo (KS) Reservation/Sac and Fox Nation Trust Land joint-use area","KS",4910,2418987
"TR48",207,"nd","Kickapoo Tribe of Oklahoma","Kickapoo OTSA","OK",5700,2418651
"AKNV",220,"d","King Island Native Community","Nome ANVSA","AK",7095,2575187
"AKNV",221,"n","King Salmon Tribe","King Salmon ANVSA","AK",6740,2575183
"TR48",212,"n","Kiowa Indian Tribe of Oklahoma","Kiowa-Comanche-Apache-Fort Sill Apache OTSA","OK",5720,2418654
"TR48",212,"nd","Kiowa Indian Tribe of Oklahoma","Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA","OK",5955,2418655
"TR48",215,"nd","Klamath Tribes","Klamath Reservation","OR",1785,2418990
"AKNV",216,"nd","Klawock Cooperative Association","Klawock ANVSA","AK",6765,2418659
"TR48",209,"n","Kletsel Dehe Wintun Nation of the Cortina Rancheria (previously listed as Kletsel Dehe Band of Wintun Indians)","Cortina Indian Rancheria","CA",780,221603
"AKNV",222,"nod","Knik Tribe","Knik ANVSA","AK",6290,2418816
"TR48",224,"none","Koi Nation of Northern California","","",NA,NA
"AKNV",225,"n","Kokhanok Village","Kokhanok ANVSA","AK",6800,2418666
"TR48",232,"nd","Kootenai Tribe of Idaho","Kootenai Reservation","ID",1800,394860
"AKNV",227,"nd","Koyukuk Native Village","Koyukuk ANVSA","AK",6830,2418674
"TR48",244,"nd","La Jolla Band of Luiseno Indians, California","La Jolla Reservation","CA",1850,271928
"TR48",248,"n","La Posta Band of Diegueno Mission Indians of the La Posta Indian Reservation, California","La Posta Indian Reservation","CA",1895,255947
