"","GEOID","dec.NAME","dec.total","dec.A","dec.AoIC","dec.pct_AIAN","dec.A_AoIC","acs.NAME","acs.total","acs.A","acs.AoIC","acs.pct_AIAN","acs.A_AoIC"
"366","6075","Ambler ANVSA, AK",274,236,250,0.912408759124088,0.944,"Ambler ANVSA, AK",182,167,173,0.950549450549451,0.965317919075145
"367","6080","Anaktuvuk Pass ANVSA, AK",425,315,351,0.825882352941177,0.897435897435897,"Anaktuvuk Pass ANVSA, AK",329,238,288,0.875379939209726,0.826388888888889
"368","6095","Andreafsky ANVSA, AK",102,89,93,0.911764705882353,0.956989247311828,"Andreafsky ANVSA, AK",160,135,155,0.96875,0.870967741935484
"369","6100","Angoon ANVSA, AK",357,286,318,0.890756302521008,0.89937106918239,"Angoon ANVSA, AK",480,276,405,0.84375,0.681481481481481
"370","6105","Aniak ANVSA, AK",510,368,410,0.803921568627451,0.897560975609756,"Aniak ANVSA, AK",585,388,419,0.716239316239316,0.926014319809069
"371","6125","Anvik ANVSA, AK",70,62,66,0.942857142857143,0.939393939393939,"Anvik ANVSA, AK",79,78,78,0.987341772151899,1
"372","6140","Arctic Village ANVSA, AK",151,140,145,0.960264900662252,0.96551724137931,"Arctic Village ANVSA, AK",164,156,164,1,0.951219512195122
"373","6150","Atka ANVSA, AK",53,50,52,0.981132075471698,0.961538461538462,"Atka ANVSA, AK",15,15,15,1,1
"374","6160","Atmautluak ANVSA, AK",386,371,375,0.971502590673575,0.989333333333333,"Atmautluak ANVSA, AK",88,81,81,0.920454545454545,1
"375","6165","Atqasuk ANVSA, AK",276,240,253,0.916666666666667,0.948616600790514,"Atqasuk ANVSA, AK",288,238,275,0.954861111111111,0.865454545454545
"376","6175","Barrow ANVSA, AK",4927,2652,3127,0.634666125431297,0.84809721778062,"Barrow ANVSA, AK",4778,2503,2858,0.598158225198828,0.875787263820854
"377","6190","Beaver ANVSA, AK",48,46,46,0.958333333333333,1,"Beaver ANVSA, AK",17,17,17,1,1
"378","6195","Belkofski ANVSA, AK",2,0,0,0,NA,"Belkofski ANVSA, AK",0,0,0,NA,NA
"379","6205","Bethel ANVSA, AK",6325,4158,4710,0.744664031620553,0.882802547770701,"Bethel ANVSA, AK",6312,4143,4567,0.723542458808618,0.907160061309394
"380","6225","Bill Moore's ANVSA, AK",0,0,0,NA,NA,"Bill Moore's ANVSA, AK",0,0,0,NA,NA
"381","6235","Birch Creek ANVSA, AK",35,31,32,0.914285714285714,0.96875,"Birch Creek ANVSA, AK",0,0,0,NA,NA
"382","6240","Brevig Mission ANVSA, AK",428,380,393,0.918224299065421,0.966921119592875,"Brevig Mission ANVSA, AK",718,688,699,0.973537604456824,0.984263233190272
"383","6250","Buckland ANVSA, AK",550,525,539,0.98,0.974025974025974,"Buckland ANVSA, AK",533,489,529,0.99249530956848,0.924385633270321
"384","6255","Cantwell ANVSA, AK",197,36,54,0.274111675126904,0.666666666666667,"Cantwell ANVSA, AK",128,25,38,0.296875,0.657894736842105
"385","6257","Canyon Village ANVSA, AK",0,0,0,NA,NA,"Canyon Village ANVSA, AK",0,0,0,NA,NA
"386","6265","Chalkyitsik ANVSA, AK",56,52,54,0.964285714285714,0.962962962962963,"Chalkyitsik ANVSA, AK",80,69,80,1,0.8625
"387","6275","Chefornak ANVSA, AK",506,460,488,0.964426877470356,0.942622950819672,"Chefornak ANVSA, AK",620,566,614,0.990322580645161,0.921824104234528
"388","6280","Chenega ANVSA, AK",59,34,40,0.677966101694915,0.85,"Chenega ANVSA, AK",37,0,11,0.297297297297297,0
"389","6285","Chevak ANVSA, AK",951,892,927,0.974763406940063,0.962243797195254,"Chevak ANVSA, AK",494,423,460,0.931174089068826,0.919565217391304
